orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
100001,2023-08-11,2023-08-24,Shipped,463,3196.82,Credit Card
100002,2023-12-18,2023-12-24,On Hold,182,165.14,PayPal
100003,2025-09-27,2025-09-30,Shipped,72,4557.17,Credit Card
100004,2024-02-26,2024-03-07,Shipped,537,354.55,Credit Card
100005,2025-11-27,2025-11-30,Shipped,881,4549.51,Credit Card
100006,2023-08-15,2023-08-22,Shipped,490,3717.0,Credit Card
100007,2024-02-27,2024-03-05,Processing,318,2163.84,Bank Transfer
100008,2025-08-30,2025-09-07,Cancelled,962,1555.02,Credit Card
100009,2025-07-28,2025-08-08,Shipped,147,2231.43,Bank Transfer
100010,2024-05-20,2024-06-08,Shipped,583,4396.8,Credit Card
100011,2023-03-22,2023-03-27,Shipped,903,4594.88,Credit Card
100012,2024-09-01,2024-09-16,Cancelled,830,4249.97,Credit Card
100013,2024-01-03,2024-01-19,Shipped,933,3297.1,PayPal
100014,2023-07-15,2023-07-30,On Hold,45,1202.28,Cash
100015,2024-07-14,2024-08-03,Shipped,939,338.39,Bank Transfer
100016,2024-03-20,2024-04-07,Shipped,781,2766.36,Mobile Payment
100017,2023-06-06,2023-06-12,Shipped,799,1633.44,Credit Card
100018,2024-06-01,2024-06-10,Shipped,474,138.46,PayPal
100019,2025-08-03,2025-08-18,Shipped,409,4279.59,Credit Card
100020,2023-01-22,2023-02-02,Shipped,940,686.72,PayPal
100021,2025-08-08,2025-08-26,Shipped,85,2744.4,Credit Card
100022,2025-06-15,2025-06-22,Shipped,286,4208.6,Credit Card
100023,2023-02-06,2023-02-12,Shipped,128,2675.6,Credit Card
100024,2023-06-08,2023-06-11,On Hold,158,2206.09,Credit Card
100025,2023-03-12,2023-04-01,Shipped,714,243.54,PayPal
100026,2025-12-06,2025-12-12,Shipped,316,2222.71,PayPal
100027,2023-04-10,2023-04-25,Processing,952,1252.25,Mobile Payment
100028,2024-02-14,2024-02-19,Shipped,29,4946.51,Credit Card
100029,2024-01-29,2024-02-03,Shipped,904,487.53,Bank Transfer
100030,2023-12-10,2023-12-18,Shipped,525,542.88,Credit Card
100031,2024-01-24,2024-02-02,Resolved,405,4694.92,Credit Card
100032,2024-03-13,2024-03-19,Shipped,178,79.9,PayPal
100033,2023-01-25,2023-02-09,Shipped,226,334.75,Bank Transfer
100034,2025-01-25,2025-01-29,Shipped,224,2058.43,Bank Transfer
100035,2025-10-20,2025-10-26,Processing,811,4952.7,Cash
100036,2023-12-18,2023-12-29,Disputed,615,1625.15,PayPal
100037,2025-03-06,2025-03-13,Shipped,651,3809.77,PayPal
100038,2025-09-14,2025-09-19,Shipped,624,4560.96,Credit Card
100039,2025-11-12,2025-11-22,Shipped,722,4941.96,Credit Card
100040,2023-09-12,2023-09-24,Shipped,439,3787.44,PayPal
100041,2023-05-03,2023-05-10,Shipped,304,1014.05,Credit Card
100042,2023-03-19,2023-03-29,Resolved,613,4942.81,Credit Card
100043,2024-11-04,2024-11-11,Shipped,660,3935.92,Credit Card
100044,2025-04-29,2025-05-11,Processing,235,4235.44,Credit Card
100045,2024-05-11,2024-05-20,Shipped,929,4588.8,Mobile Payment
100046,2024-03-31,2024-04-15,Shipped,188,2214.59,Credit Card
100047,2025-10-03,2025-10-08,Disputed,54,3173.66,Credit Card
100048,2024-02-23,2024-03-01,Shipped,607,2746.49,Bank Transfer
100049,2024-02-23,2024-03-04,Shipped,437,3626.32,Credit Card
100050,2024-02-09,2024-02-19,Shipped,621,1248.6,Credit Card
100051,2025-07-07,2025-07-16,Shipped,801,2408.45,Mobile Payment
100052,2025-01-06,2025-01-21,Shipped,483,2209.67,PayPal
100053,2025-06-06,2025-06-13,Processing,813,2412.59,Bank Transfer
100054,2025-05-25,2025-05-30,Processing,944,1504.66,PayPal
100055,2023-12-26,2024-01-06,Shipped,314,2270.75,Credit Card
100056,2025-09-11,2025-09-16,Shipped,733,2348.95,Credit Card
100057,2024-01-24,2024-01-27,Shipped,513,3653.19,Credit Card
100058,2025-04-08,2025-04-24,Resolved,994,3712.26,Credit Card
100059,2024-09-22,2024-09-27,Shipped,40,4962.4,Credit Card
100060,2023-11-29,2023-12-08,Processing,981,1280.02,Mobile Payment
100061,2024-12-14,2025-01-02,Processing,651,3444.0,PayPal
100062,2025-02-28,2025-03-16,Processing,249,2391.24,Mobile Payment
100063,2025-01-10,2025-01-13,On Hold,661,743.68,PayPal
100064,2023-10-29,2023-11-09,Shipped,593,4759.13,Bank Transfer
100065,2023-01-26,2023-02-01,Processing,660,3559.49,Credit Card
100066,2023-06-14,2023-07-03,Resolved,898,2117.61,Bank Transfer
100067,2024-06-01,2024-06-13,Shipped,546,3294.14,Credit Card
100068,2024-09-22,2024-10-08,Processing,947,3639.62,Credit Card
100069,2024-12-06,2024-12-13,Shipped,215,4650.43,Credit Card
100070,2024-09-22,2024-09-25,Disputed,836,2461.16,Credit Card
100071,2025-05-05,2025-05-24,Shipped,296,3666.55,Credit Card
100072,2025-02-06,2025-02-14,Processing,203,2434.92,PayPal
100073,2023-08-14,2023-08-31,Shipped,218,932.26,Credit Card
100074,2024-01-10,2024-01-19,Shipped,924,4358.72,Credit Card
100075,2023-08-12,2023-08-20,Shipped,88,1891.75,Credit Card
100076,2024-12-01,2024-12-04,Shipped,490,2428.55,Bank Transfer
100077,2023-01-20,2023-01-24,Shipped,979,41.1,PayPal
100078,2023-03-27,2023-04-02,Shipped,811,41.27,PayPal
100079,2024-06-28,2024-07-16,Shipped,346,3023.84,Credit Card
100080,2024-12-03,2024-12-16,Processing,964,1809.25,Credit Card
100081,2023-04-28,2023-05-12,Processing,826,505.39,Credit Card
100082,2025-04-02,2025-04-09,Shipped,126,4345.68,Credit Card
100083,2024-05-24,2024-06-07,Shipped,703,3296.09,Credit Card
100084,2025-04-26,2025-05-05,Shipped,654,4787.95,Bank Transfer
100085,2023-02-04,2023-02-18,Processing,993,4038.75,Credit Card
100086,2025-06-28,2025-07-08,Cancelled,410,3697.33,Bank Transfer
100087,2024-12-14,2024-12-30,Resolved,965,4654.57,Mobile Payment
100088,2023-07-25,2023-08-09,Shipped,200,3561.15,Cash
100089,2025-10-30,2025-11-03,Shipped,816,440.01,Bank Transfer
100090,2025-08-14,2025-08-22,Processing,978,582.81,PayPal
100091,2024-05-08,2024-05-18,Shipped,772,4721.33,PayPal
100092,2023-08-05,2023-08-21,Disputed,30,805.38,Mobile Payment
100093,2025-02-24,2025-03-07,Shipped,264,3331.33,Mobile Payment
100094,2023-09-10,2023-09-17,Resolved,649,3628.44,Credit Card
100095,2024-11-12,2024-11-22,Resolved,785,4619.62,Credit Card
100096,2024-12-03,2024-12-18,Resolved,761,3681.33,Credit Card
100097,2025-06-13,2025-06-23,Shipped,119,1458.43,Credit Card
100098,2024-11-27,2024-12-06,Processing,119,2866.33,Credit Card
100099,2024-10-03,2024-10-18,Shipped,2,1557.44,PayPal
100100,2024-01-24,2024-02-08,Disputed,328,3857.55,Bank Transfer
100101,2023-09-16,2023-10-05,On Hold,605,1114.6,Credit Card
100102,2025-08-01,2025-08-14,Shipped,966,1487.63,Credit Card
100103,2025-07-22,2025-07-29,Cancelled,150,3736.56,Bank Transfer
100104,2023-03-12,2023-03-25,Shipped,706,621.7,Mobile Payment
100105,2025-09-06,2025-09-15,Shipped,722,4832.65,Credit Card
100106,2024-11-13,2024-11-20,Processing,216,4241.11,Mobile Payment
100107,2024-04-05,2024-04-09,Resolved,795,899.21,Credit Card
100108,2025-03-13,2025-03-25,Disputed,676,4562.32,Credit Card
100109,2023-02-14,2023-03-06,Shipped,433,3391.1,Mobile Payment
100110,2025-03-12,2025-03-27,Shipped,745,1418.78,PayPal
100111,2024-02-04,2024-02-24,Shipped,135,1620.48,Bank Transfer
100112,2023-04-21,2023-05-03,Shipped,168,2887.9,Credit Card
100113,2025-09-15,2025-09-27,Processing,215,1094.59,Bank Transfer
100114,2023-01-19,2023-02-02,Processing,590,514.23,Bank Transfer
100115,2023-10-30,2023-11-14,Disputed,438,3398.83,Credit Card
100116,2023-04-26,2023-05-02,Shipped,486,902.27,Credit Card
100117,2025-11-21,2025-12-04,Shipped,994,747.1,Bank Transfer
100118,2024-05-16,2024-05-20,Shipped,407,2445.69,PayPal
100119,2023-12-20,2024-01-04,Processing,815,3355.33,Credit Card
100120,2025-08-07,2025-08-22,Shipped,669,2228.37,Credit Card
100121,2023-08-27,2023-09-01,Shipped,657,3345.62,PayPal
